"name"	"gender"	"age"	"competition"	"stage_name"	"stage_num"	"date"	"order_stage"	"order_day"	"order_session"	"local_time"	"got_through"
"Zhou Ning"	"M"	28	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/04/16	36	10	3		1
"Dmytrenko Anna"	"F"	24	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/04/16	37	11	4		0
"Cai Sheng"	"M"	29	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/04/16	38	12	5		0
"Tartakovsky Alexei"	"M"	27	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/04/16	39	13	6		0
"Kim Su Yeon"	"F"	22	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	40	1	1	03:00:00 PM	1
"Gouin Nathanaël"	"M"	28	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	41	2	2		0
"Takagi Ryoma"	"M"	24	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	42	3	3		0
"Sychev Alexey"	"M"	28	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	43	4	4		0
"Laurent-Grandpre Franck"	"M"	25	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	44	5	5		0
"Lapaz Enrique"	"M"	28	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	45	6	6		0
"Jurinić Aljoša"	"M"	27	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	46	7	7		1
"Yoon Jung Eun"	"M"	29	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	47	8	1	08:00:00 PM	0
"Vassilenko Victoria"	"F"	24	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	48	9	2		0
"Horváth Benedek"	"M"	27	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	49	10	3		0
"Han Chi Ho"	"M"	24	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	50	11	4		1
"Jittakarn San"	"M"	24	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	51	12	5		1
"Dubov Andrey"	"M"	29	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/05/16	52	13	6		0
"Kim Hong Gi"	"M"	25	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	53	1	1	03:00:00 PM	0
"Bulkina Anna"	"F"	30	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	54	2	2		0
"Yasynskyy Artem"	"M"	28	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	55	3	3		0
"Klinton Dinara"	"F"	27	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	56	4	4		1
"Won Jong Ho"	"M"	28	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	57	5	5		0
"Gologan Andrei"	"M"	24	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	58	6	6		0
"Sakai Arisa"	"F"	27	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	59	7	1	08:00:00 PM	0
"Rajeshkumar Kausikan"	"M"	26	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	60	8	2		0
"Marthan Aurèle"	"M"	30	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	61	9	3		0
"Weng Larry"	"M"	29	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	62	10	4		1
"Huang Ruoyu"	"M"	27	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	63	11	5		1
"Tatsuno Tsubasa"	"M"	25	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/06/16	64	12	6		0
"Katada Airi"	"F"	24	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/07/16	65	1	1	03:00:00 PM	0
"Vondracek Lukas"	"M"	30	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/07/16	66	2	2		1
"Ferro Alberto"	"M"	20	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/07/16	67	3	3		1
"Won Jaeyeon"	"M"	28	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/07/16	68	4	4		0
"Sohn Jeung Beum"	"M"	25	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/07/16	69	5	5		0
"Kim Jong Yun"	"M"	26	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/07/16	70	6	6		0
"Okada Kana"	"F"	25	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/07/16	71	7	1	08:00:00 PM	1
"Destounis Konstantinos"	"M"	25	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/07/16	72	8	2		0
"Sakiya Akihiro"	"M"	28	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/07/16	73	9	3		0
"Choi Hyounglok"	"M"		"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/07/16	74	10	4		0
"Kramer Henry"	"M"	29	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/07/16	75	11	5		1
"Shishkin Dmitry"	"M"	24	"Queen Elisabeth Competition Piano 2016"	"First round"	1	05/07/16	76	12	6		1
"Kim Yoonji"	"F"	27	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/09/16	1	1	1	03:00:00 PM	1
"Pisareva Nadezda"	"F"	29	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/09/16	2	2	2		0
"Han Chi Ho"	"M"	24	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/09/16	1	3	3		1
"Jittakarn San"	"M"	24	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/09/16	2	4	4		0
"Cho Jun Hwi"	"M"	20	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/09/16	3	5	1	08:00:00 PM	0
"Pierdomenico Leonardo"	"M"	24	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/09/16	4	6	2		0
"Kim Su Yeon"	"F"	22	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/09/16	3	7	3		0
"Jurinić Aljoša"	"M"	27	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/09/16	4	8	4		1
"Kim Dongkyu"	"M"	30	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/10/16	5	1	1	03:00:00 PM	0
"Imada Atsushi"	"M"	26	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/10/16	6	2	2		1
"Huang Ruoyu"	"M"	27	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/10/16	5	3	3		0
"Vondracek Lukas"	"M"	30	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/10/16	6	4	4		1
"Lee Eun Ae"	"F"	28	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/10/16	7	5	1	08:00:00 PM	0
"Beyer Alexander"	"M"	22	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/10/16	8	6	2		1
"Klinton Dinara"	"F"	27	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/10/16	7	7	3		0
"Weng Larry"	"M"	29	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/10/16	8	8	4		1
"Suh Hans H."	"M"	26	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/11/16	9	1	1	03:00:00 PM	1
"Zhdanov Denis"	"M"	28	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/11/16	10	2	2		0
"Okada Kana"	"F"	25	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/11/16	9	3	3		1
"Kramer Henry"	"M"	29	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/11/16	10	4	4		1
"Wong Evan"	"M"	26	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/11/16	11	5	1	08:00:00 PM	0
"Zhou Ning"	"M"	28	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/11/16	12	6	2		0
"Shishkin Dmitry"	"M"	24	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/11/16	11	7	3		1
"Ferro Alberto"	"M"	20	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/11/16	12	8	4		1
"Kim Su Yeon"	"F"	22	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/12/16	13	1	1	03:00:00 PM	0
"Jurinić Aljoša"	"M"	27	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/12/16	14	2	2		1
"Cho Jun Hwi"	"M"	20	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/12/16	13	3	3		0
"Pierdomenico Leonardo"	"M"	24	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/12/16	14	4	4		0
"Han Chi Ho"	"M"	24	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/12/16	15	5	1	08:00:00 PM	1
"Jittakarn San"	"M"	24	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/12/16	16	6	2		0
"Kim Yoonji"	"F"	27	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/12/16	15	7	3		1
"Pisareva Nadezda"	"F"	29	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/12/16	16	8	4		0
"Klinton Dinara"	"F"	27	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/13/16	17	1	1	03:00:00 PM	0
"Weng Larry"	"M"	29	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/13/16	18	2	2		1
"Lee Eun Ae"	"F"	28	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/13/16	17	3	3		0
"Beyer Alexander"	"M"	22	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/13/16	18	4	4		1
"Huang Ruoyu"	"M"	27	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/13/16	19	5	1	08:00:00 PM	0
"Vondracek Lukas"	"M"	30	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/13/16	20	6	2		1
"Kim Dongkyu"	"M"	30	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/13/16	19	7	3		0
"Imada Atsushi"	"M"	26	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/13/16	20	8	4		1
"Shishkin Dmitry"	"M"	24	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/14/16	21	1	1	03:00:00 PM	1
"Ferro Alberto"	"M"	20	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/14/16	22	2	2		1
"Wong Evan"	"M"	26	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/14/16	21	3	3		0
"Zhou Ning"	"M"	28	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/14/16	22	4	4		0
"Okada Kana"	"F"	25	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/14/16	23	5	1	08:00:00 PM	1
"Kramer Henry"	"M"	29	"Queen Elisabeth Competition Piano 2016"	"Semifinal – Mozart concerto"	2	05/14/16	24	6	2		1
"Suh Hans H."	"M"	26	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/14/16	23	7	3		1
"Zhdanov Denis"	"M"	28	"Queen Elisabeth Competition Piano 2016"	"Semifinal – recital"	2	05/14/16	24	8	4		0
"Kim Yoonji"	"F"	27	"Queen Elisabeth Competition Piano 2016"	"Final"	3	05/23/16	1	1	1	08:00:00 PM	0
"Imada Atsushi"	"M"	26	"Queen Elisabeth Competition Piano 2016"	"Final"	3	05/23/16	2	2	2		0
"Beyer Alexander"	"M"	22	"Queen Elisabeth Competition Piano 2016"	"Final"	3	05/24/16	3	1	1	08:00:00 PM	1
"Suh Hans H."	"M"	26	"Queen Elisabeth Competition Piano 2016"	"Final"	3	05/24/16	4	2	2		0
"Jurinić Aljoša"	"M"	27	"Queen Elisabeth Competition Piano 2016"	"Final"	3	05/25/16	5	1	1	08:00:00 PM	1
"Han Chi Ho"	"M"	24	"Queen Elisabeth Competition Piano 2016"	"Final"	3	05/25/16	6	2	2		1
"Weng Larry"	"M"	29	"Queen Elisabeth Competition Piano 2016"	"Final"	3	05/26/16	7	1	1	08:00:00 PM	0
"Vondracek Lukas"	"M"	30	"Queen Elisabeth Competition Piano 2016"	"Final"	3	05/26/16	8	2	2		1
"Shishkin Dmitry"	"M"	24	"Queen Elisabeth Competition Piano 2016"	"Final"	3	05/27/16	9	1	1	08:00:00 PM	0
"Ferro Alberto"	"M"	20	"Queen Elisabeth Competition Piano 2016"	"Final"	3	05/27/16	10	2	2		1
"Okada Kana"	"F"	25	"Queen Elisabeth Competition Piano 2016"	"Final"	3	05/28/16	11	1	1	08:00:00 PM	0
"Kramer Henry"	"M"	29	"Queen Elisabeth Competition Piano 2016"	"Final"	3	05/28/16	12	2	2		1
"Menguy Rodolphe"	"M"	24	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/03/21	1	1	1	04:00:00 PM	0
"Parkhomenko Daria"	"F"	30	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/03/21	2	2	2	04:00:00 PM	0
"Yang Xiaohui"	"F"	30	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/03/21	3	3	3	04:00:00 PM	0
"Yoo Sung Ho"	"M"	25	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/03/21	4	4	4	04:00:00 PM	0
"Liepins Daumants"	"M"	27	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/03/21	5	5	1	08:00:00 PM	1
"Kajenjeri Mirabelle"	"F"	23	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/03/21	6	6	2	08:00:00 PM	0
"Basic Ivan"	"M"	25	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/03/21	7	7	3	08:00:00 PM	0
"Wierciński Andrzej"	"M"	26	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/03/21	8	8	4	08:00:00 PM	0
"Khokhlova Maria"	"F"	30	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/04/21	9	1	1	12:00:00 PM	0
"Park Jinhyung"	"M"	25	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/04/21	10	2	2	12:00:00 PM	0
"Saito Kazuya"	"M"	31	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/04/21	11	3	3	12:00:00 PM	0
"Konnov Evgeny"	"M"	29	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/04/21	12	4	4	12:00:00 PM	0
"Papoian Ilia"	"M"	20	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/04/21	13	5	5	12:00:00 PM	0
"Starikov Vitaly"	"M"	26	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/04/21	14	6	1	04:00:00 PM	1
"Orth Kyle"	"M"	31	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/04/21	15	7	2	04:00:00 PM	0
"Jittakarn San"	"M"	29	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/04/21	16	8	3	04:00:00 PM	0
"Kim Su Yeon"	"F"	27	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/04/21	17	9	4	04:00:00 PM	1
"Yoo Se Hyeong"	"M"	31	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/04/21	18	10	1	08:00:00 PM	0
"Buordoncle Nicolas"	"M"	23	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/04/21	19	11	2	08:00:00 PM	0
"Zang Xiaolu"	"M"	22	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/04/21	20	12	3	08:00:00 PM	1
"Park Youngho"	"M"	28	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/04/21	21	13	4	08:00:00 PM	0
"Pierdomenico Leonardo"	"M"	29	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/05/21	22	1	1	12:00:00 PM	0
"Kurz Aaron"	"M"	26	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/05/21	23	2	2	12:00:00 PM	0
"Shmukler Ilya"	"M"	27	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/05/21	24	3	3	12:00:00 PM	0
"Ben-Yehuda Nathan"	"M"	27	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/05/21	25	4	4	12:00:00 PM	0
"Kim Seolhwa"	"F"	28	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/05/21	26	5	5	12:00:00 PM	0
"Sakata Tomoki"	"M"	28	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/05/21	27	6	1	04:00:00 PM	1
"Guarrera Giuseppe"	"M"	30	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/05/21	28	7	2	04:00:00 PM	0
"Gevrek Salih Can"	"M"	29	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/05/21	29	8	3	04:00:00 PM	0
"Keshet Eylam"	"M"	29	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/05/21	30	9	4	04:00:00 PM	0
"Mukawa Keigo"	"M"	28	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/05/21	31	10	1	08:00:00 PM	1
"Redkin Sergei"	"M"	30	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/05/21	32	11	2	08:00:00 PM	1
"Gasparian Jean-Paul"	"M"	26	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/05/21	33	12	3	08:00:00 PM	0
"Alberti Maxime"	"M"	30	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/05/21	34	13	4	08:00:00 PM	0
"Kim Junhyung"	"M"	24	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/06/21	35	1	1	04:00:00 PM	0
"Kim Séverine"	"F"	27	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/06/21	36	2	2	04:00:00 PM	0
"Dorokhova Tatiana"	"F"	30	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/06/21	37	3	3	04:00:00 PM	0
"Mikdad Aidan"	"M"	20	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/06/21	38	4	4	04:00:00 PM	1
"Lee Hyuk"	"M"	21	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/06/21	39	5	1	08:00:00 PM	0
"Hisasue Wataru"	"M"	27	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/06/21	40	6	2	08:00:00 PM	0
"Sin Dmitry"	"M"	27	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/06/21	41	7	3	08:00:00 PM	1
"Lee Taek Gi"	"M"	25	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/06/21	42	8	4	08:00:00 PM	0
"Shin Changyong"	"M"	27	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/07/21	43	1	1	04:00:00 PM	0
"Klimo Peter"	"M"	31	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/07/21	44	2	2	04:00:00 PM	0
"Kyrychenko Rafael"	"M"	25	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/07/21	45	3	3	04:00:00 PM	0
"Park Kyoungsun"	"M"	29	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/07/21	46	4	4	04:00:00 PM	0
"Fournel Jonathan"	"M"	28	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/07/21	47	5	1	08:00:00 PM	1
"Kim Hyelim"	"F"	25	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/07/21	48	6	2	08:00:00 PM	0
"Kobayashi Kaito"	"M"	26	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/07/21	49	7	3	08:00:00 PM	0
"Kim Hong Gi"	"M"	30	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/07/21	50	8	4	08:00:00 PM	0
"Hanssen Knut"	"M"	29	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/08/21	51	1	1	04:00:00 PM	0
"Nitahara Yu"	"M"	31	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/08/21	52	2	2	04:00:00 PM	0
"Yoshimi Yuki"	"M"	21	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/08/21	53	3	3	04:00:00 PM	1
"Mavliudov Nail"	"M"	29	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/08/21	54	4	4	04:00:00 PM	0
"Tadokoro Marcel"	"M"	28	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/08/21	55	5	1	08:00:00 PM	1
"Trushechkin Alexey"	"M"	31	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/08/21	56	6	2	08:00:00 PM	0
"Tang Stephanie"	"F"	27	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/08/21	57	7	3	08:00:00 PM	0
"Hong Minsoo"	"M"	28	"Queen Elisabeth Competition Piano 2021"	"First round"	1	05/08/21	58	8	4	08:00:00 PM	0
"Liepins Daumants"	"M"	27	"Queen Elisabeth Competition Piano 2021"	"Semifinal"	2	05/10/21	1	1	1	04:00:00 PM	0
"Starikov Vitaly"	"M"	26	"Queen Elisabeth Competition Piano 2021"	"Semifinal"	2	05/10/21	2	2	2	08:00:00 PM	1
"Tadokoro Marcel"	"M"	28	"Queen Elisabeth Competition Piano 2021"	"Semifinal"	2	05/11/21	3	1	1	04:00:00 PM	0
"Zang Xiaolu"	"M"	22	"Queen Elisabeth Competition Piano 2021"	"Semifinal"	2	05/11/21	4	2	2	08:00:00 PM	0
"Kim Su Yeon"	"F"	27	"Queen Elisabeth Competition Piano 2021"	"Semifinal"	2	05/12/21	5	1	1	04:00:00 PM	0
"Sakata Tomoki"	"M"	28	"Queen Elisabeth Competition Piano 2021"	"Semifinal"	2	05/12/21	6	2	2	08:00:00 PM	1
"Mukawa Keigo"	"M"	28	"Queen Elisabeth Competition Piano 2021"	"Semifinal"	2	05/13/21	7	1	1	04:00:00 PM	1
"Redkin Sergei"	"M"	30	"Queen Elisabeth Competition Piano 2021"	"Semifinal"	2	05/13/21	8	2	2	08:00:00 PM	1
"Mikdad Aidan"	"M"	20	"Queen Elisabeth Competition Piano 2021"	"Semifinal"	2	05/14/21	9	1	1	04:00:00 PM	0
"Sin Dmitry"	"M"	27	"Queen Elisabeth Competition Piano 2021"	"Semifinal"	2	05/14/21	10	2	2	08:00:00 PM	1
"Fournel Jonathan"	"M"	28	"Queen Elisabeth Competition Piano 2021"	"Semifinal"	2	05/15/21	11	1	1	04:00:00 PM	1
"Yoshimi Yuki"	"M"	21	"Queen Elisabeth Competition Piano 2021"	"Semifinal"	2	05/15/21	12	2	2	08:00:00 PM	0
